"filename", "language", "JSON", "TypeScript", "JSON with Comments", "TypeScript JSX", "Markdown", "comment", "blank", "total"
"d:\Projetos\projeto-estacio\metamais\App.tsx", "TypeScript JSX", 0, 0, 0, 33, 0, 0, 17, 50
"d:\Projetos\projeto-estacio\metamais\app.json", "JSON", 32, 0, 0, 0, 0, 0, 1, 33
"d:\Projetos\projeto-estacio\metamais\index.ts", "TypeScript", 0, 3, 0, 0, 0, 3, 3, 9
"d:\Projetos\projeto-estacio\metamais\package-lock.json", "JSON", 8523, 0, 0, 0, 0, 0, 1, 8524
"d:\Projetos\projeto-estacio\metamais\package.json", "JSON", 34, 0, 0, 0, 0, 0, 1, 35
"d:\Projetos\projeto-estacio\metamais\readme.md", "Markdown", 0, 0, 0, 0, 30, 0, 9, 39
"d:\Projetos\projeto-estacio\metamais\src\components\ButtonForm\ButtonForm.tsx", "TypeScript JSX", 0, 0, 0, 31, 0, 0, 6, 37
"d:\Projetos\projeto-estacio\metamais\src\components\Card\Card.tsx", "TypeScript JSX", 0, 0, 0, 162, 0, 3, 39, 204
"d:\Projetos\projeto-estacio\metamais\src\components\Checkbox\Checkbox.tsx", "TypeScript JSX", 0, 0, 0, 31, 0, 0, 13, 44
"d:\Projetos\projeto-estacio\metamais\src\components\FormProduct\FormProduct.tsx", "TypeScript JSX", 0, 0, 0, 74, 0, 3, 14, 91
"d:\Projetos\projeto-estacio\metamais\src\components\Header\Header.tsx", "TypeScript JSX", 0, 0, 0, 69, 0, 1, 15, 85
"d:\Projetos\projeto-estacio\metamais\src\components\Modal\EditProductModal.tsx", "TypeScript JSX", 0, 0, 0, 246, 0, 9, 66, 321
"d:\Projetos\projeto-estacio\metamais\src\components\Modal\SucessMessage.tsx", "TypeScript JSX", 0, 0, 0, 69, 0, 0, 6, 75
"d:\Projetos\projeto-estacio\metamais\src\controllers\productsController.ts", "TypeScript", 0, 51, 0, 0, 0, 8, 19, 78
"d:\Projetos\projeto-estacio\metamais\src\models\Product.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 11
"d:\Projetos\projeto-estacio\metamais\src\routes\app.routes.tsx", "TypeScript JSX", 0, 0, 0, 58, 0, 0, 20, 78
"d:\Projetos\projeto-estacio\metamais\src\utils\formatCurrency.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 3, 17
"d:\Projetos\projeto-estacio\metamais\src\views\History\History.tsx", "TypeScript JSX", 0, 0, 0, 8, 0, 0, 5, 13
"d:\Projetos\projeto-estacio\metamais\src\views\Home\Home.tsx", "TypeScript JSX", 0, 0, 0, 78, 0, 1, 33, 112
"d:\Projetos\projeto-estacio\metamais\src\views\NewProduct\AddChildrenGoals.tsx", "TypeScript JSX", 0, 0, 0, 126, 0, 4, 32, 162
"d:\Projetos\projeto-estacio\metamais\src\views\NewProduct\NewProduct.tsx", "TypeScript JSX", 0, 0, 0, 169, 0, 3, 33, 205
"d:\Projetos\projeto-estacio\metamais\src\views\NewProduction\NewProduction.tsx", "TypeScript JSX", 0, 0, 0, 8, 0, 0, 5, 13
"d:\Projetos\projeto-estacio\metamais\tsconfig.json", "JSON with Comments", 0, 0, 6, 0, 0, 0, 1, 7
"Total", "-", 8589, 79, 6, 1162, 30, 35, 342, 10243